environment,host_os,host_arch,host_cpu,execution_backend,qemu_version,benchmark,p50,p95,p99,mean,min,max,unit
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),A,3,3,238,7,3,238,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),B,43,43,221,44,39,221,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),C,938,1087,1283,973,932,1283,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),D,41,42,209,44,41,209,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),E,5214,5743,5879,5292,5025,5879,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),F,15292,17798,22076,15586,14442,22076,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),G,17302,19979,20477,17155,14776,20477,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),H,15430,17825,18879,15657,14387,18879,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),I,16157,36080,38921,19205,14623,38921,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),J,15996,25248,25698,17013,14529,25698,generic-counter-ticks
local-intel-i5-1145g7,Linux,x86_64,11th Gen Intel(R) Core(TM) i5-1145G7 @ 2.60GHz,tcg,QEMU emulator version 10.2.1 (Debian 1:10.2.1+ds-1ubuntu3.2),K,3730,5404,5849,3838,3019,5849,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),A,0,0,13,0,0,13,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),B,3,3,14,3,3,14,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),C,71,88,126,73,70,126,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),D,3,3,15,3,3,15,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),E,447,457,464,445,428,464,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),F,1174,1258,1368,1192,1164,1368,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),G,1174,1236,1283,1187,1163,1283,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),H,1171,1231,1287,1182,1160,1287,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),I,1262,1587,1765,1303,1247,1765,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),J,1130,1200,1215,1142,1121,1215,generic-counter-ticks
github-ubuntu-x86_64,Linux,x86_64,AMD EPYC 7763 64-Core Processor,tcg,QEMU emulator version 8.2.2 (Debian 1:8.2.2+ds-0ubuntu1.18),K,237,268,294,241,232,294,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,A,10,80,660,23,0,660,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,B,90,600,950,183,80,950,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,C,4380,23530,27820,7026,2770,27820,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,D,140,490,810,169,130,810,generic-counter-ticks
github-macos-x86_64,macOS,x86_64,Intel(R) Core(TM) i7-8700B CPU @ 3.20GHz,tcg,QEMU emulator version 11.1.0,E,22030,26960,38740,21048,12790,38740,generic-counter-ticks
