category,policy,param,p50,p95,p99,mean,target,observed,jain
overhead,rr,pick_next_2,171,200,234,175.839,,,
overhead,eevdf,pick_next_2,337,521,835,365.682,,,
overhead,rr,pick_next_4,74,86,159,78.550,,,
overhead,eevdf,pick_next_4,302,521,582,327.639,,,
overhead,rr,pick_next_8,38,69,83,45.937,,,
overhead,eevdf,pick_next_8,262,607,638,315.436,,,
overhead,rr,pick_next_16,18,20,21,18.682,,,
overhead,eevdf,pick_next_16,123,239,250,151.408,,,
overhead,rr,tick_4,1,2,2,1.813,,,
overhead,eevdf,tick_4,1,2,2,1.921,,,
fairness,rr,equal,,,,,1.0,1.000,1.00000
fairness,eevdf,equal,,,,,1.0,1.000,1.00000
fairness,rr,weighted_1_1,,,,,1.0,1.001,1.00000
fairness,eevdf,weighted_1_1,,,,,1.0,1.001,1.00000
fairness,rr,weighted_2_1,,,,,2.0,1.001,0.88889
fairness,eevdf,weighted_2_1,,,,,2.0,1.999,0.99999
fairness,rr,weighted_4_1,,,,,4.0,1.001,0.69444
fairness,eevdf,weighted_4_1,,,,,4.0,3.745,0.99342
