benchmark,policy,tasks,p50_ns,p95_ns,p99_ns,min_ns,max_ns,mean_ns,ops_per_sec_p50
pick_next,rr,2,171,200,234,160,236,175.839,5847953.216
pick_next,eevdf,2,337,521,835,321,844,365.682,2967359.050
pick_next,rr,4,74,86,159,72,164,78.550,13513513.514
pick_next,eevdf,4,302,521,582,289,613,327.639,3311258.278
pick_next,rr,8,38,69,83,28,84,45.937,26315789.474
pick_next,eevdf,8,262,607,638,222,659,315.436,3816793.893
pick_next,rr,16,18,20,21,16,22,18.682,55555555.556
pick_next,eevdf,16,123,239,250,86,269,151.408,8130081.301
tick,rr,4,1,2,2,1,2,1.813,1000000000.000
tick,eevdf,4,1,2,2,1,2,1.921,1000000000.000
